"SEQN","GENDER","AGE","EDUCATION","MARITAL","PREGNANT"
87026,"Female",21,"Less than High School","Single","No"
87028,"Female",27,"Some College","Single","No"
87030,"Female",36,"Some College","Living Partner","No"
87031,"Female",48,"College Grad","Married","No"
87032,"Male",75,"Some College","Married","No"
87035,"Male",29,"Some College","Married","No"
87036,"Male",22,"Some College","Single","No"
87039,"Female",37,"College Grad","Married","No"
87044,"Female",32,"Some College","Living Partner","No"
87046,"Female",32,"College Grad","Married","No"
87048,"Male",69,"High School","Single","No"
87049,"Female",62,"Some College","Married","No"
87050,"Female",46,"Some College","Divorced","No"
87051,"Male",36,"Less than High School","Living Partner","No"
87052,"Female",80,"Some College","Divorced","No"
87053,"Female",34,"Less than High School","Divorced","No"
87055,"Male",80,"Some College","Married","No"
87061,"Male",80,"Less than High School","Married","No"
87064,"Male",64,"Less than High School","Divorced","No"
87066,"Female",28,"Some College","Married","No"
87067,"Female",79,"High School","Single","No"
87069,"Male",49,"Some College","Married","No"
87072,"Male",52,"High School","Married","No"
87073,"Male",27,"Less than High School","Married","No"
87074,"Male",22,"Some College","Single","No"
87078,"Female",63,"High School","Widowed","No"
87079,"Male",65,"High School","Married","No"
87080,"Female",33,"Less than High School","Living Partner","No"
87081,"Female",58,"High School","Married","No"
87084,"Female",56,"High School","Single","No"
87086,"Female",60,"Less than High School","Married","No"
87088,"Female",27,"Some College","Single","No"
87090,"Female",34,"High School","Married","No"
87094,"Male",33,"Less than High School","Married","No"
87099,"Female",66,"College Grad","Separated","No"
87100,"Female",23,"Some College","Single","No"
87107,"Male",24,"Some College","Married","No"
87108,"Male",52,"High School","Married","No"
87109,"Female",67,"Less than High School","Married","No"
87111,"Male",67,"High School","Married","No"
87112,"Female",60,"High School","Single","No"
87113,"Male",68,"College Grad","Married","No"
87114,"Male",60,"Less than High School","Married","No"
87115,"Female",66,"Less than High School","Widowed","No"
87118,"Male",54,"Less than High School","Married","No"
87119,"Male",41,"Less than High School","Divorced","No"
87120,"Female",21,"Some College","Single","No"
87122,"Female",65,"Less than High School","Married","No"
87123,"Male",68,"Some College","Married","No"
87124,"Male",21,"Less than High School","Single","No"
87125,"Male",77,"Less than High School","Living Partner","No"
87127,"Female",51,"College Grad","Married","No"
87128,"Female",46,"College Grad","Married","No"
87129,"Female",28,"College Grad","Single","No"
87130,"Female",42,"Some College","Single","No"
87131,"Female",27,"High School","Single","Yes"
87132,"Male",39,"High School","Married","No"
87135,"Male",57,"College Grad","Living Partner","No"
87137,"Male",26,"High School","Living Partner","No"
87138,"Male",45,"College Grad","Married","No"
87140,"Male",36,"College Grad","Single","No"
87141,"Male",37,"College Grad","Married","No"
87142,"Female",31,"Some College","Single","Yes"
87143,"Female",38,"Some College","Married","No"
87145,"Male",78,"College Grad","Married","No"
87147,"Female",20,"Less than High School","Living Partner","Yes"
87148,"Female",55,"College Grad","Divorced","No"
87150,"Female",60,"Some College","Married","No"
87154,"Female",30,"Less than High School","Married","No"
87155,"Female",71,"College Grad","Married","No"
87156,"Female",57,"Less than High School","Divorced","No"
87158,"Female",65,"Some College","Divorced","No"
87159,"Female",22,"High School","Married","No"
87161,"Female",80,"High School","Widowed","No"
87162,"Female",35,"Some College","Married","No"
87163,"Female",44,"College Grad","Married","No"
87165,"Female",35,"Less than High School","Married","No"
87167,"Female",80,"High School","Widowed","No"
87168,"Male",49,"Less than High School","Married","No"
87169,"Female",39,"College Grad","Married","No"
87170,"Male",50,"Less than High School","Married","No"
87171,"Female",40,"Some College","Divorced","No"
87172,"Male",42,"Less than High School","Divorced","No"
87174,"Female",27,"Some College","Single","No"
87175,"Male",69,"High School","Married","No"
87176,"Male",27,"High School","Living Partner","No"
87177,"Male",57,"Some College","Married","No"
87178,"Male",54,"College Grad","Married","No"
87179,"Female",34,"Less than High School","Married","Yes"
87180,"Female",33,"College Grad","Married","No"
87181,"Female",43,"College Grad","Married","No"
87185,"Female",24,"High School","Married","No"
87186,"Male",61,"Some College","Single","No"
87187,"Male",45,"College Grad","Married","No"
87189,"Female",52,"Less than High School","Married","No"
87190,"Male",38,"Some College","Divorced","No"
87193,"Female",80,"Some College","Widowed","No"
87194,"Female",31,"College Grad","Married","No"
87197,"Male",33,"Some College","Married","No"
87198,"Male",69,"Some College","Divorced","No"
87199,"Male",55,"Less than High School","Married","No"
87200,"Female",28,"College Grad","Living Partner","No"
87201,"Male",32,"High School","Single","No"
87202,"Male",39,"High School","Married","No"
87204,"Female",70,"Less than High School","Married","No"
87207,"Female",30,"College Grad","Single","No"
87208,"Male",35,"Less than High School","Married","No"
87209,"Female",62,"Some College","Single","No"
87210,"Male",80,"College Grad","Married","No"
87211,"Male",41,"Some College","Married","No"
87214,"Male",38,"College Grad","Married","No"
87215,"Male",70,"College Grad","Married","No"
87217,"Male",73,"College Grad","Married","No"
87219,"Female",42,"High School","Married","No"
87221,"Male",63,"Some College","Married","No"
87223,"Female",55,"Some College","Single","No"
87225,"Male",35,"Less than High School","Single","No"
87226,"Female",41,"Less than High School","Married","No"
87228,"Male",62,"High School","Married","No"
87229,"Female",43,"College Grad","Married","No"
87230,"Male",27,"High School","Married","No"
87231,"Male",57,"Some College","Married","No"
87233,"Male",35,"College Grad","Married","No"
87235,"Male",43,"High School","Living Partner","No"
87236,"Female",45,"College Grad","Married","No"
87237,"Female",65,"Some College","Married","No"
87241,"Female",23,"College Grad","Married","Yes"
87242,"Male",26,"Less than High School","Married","No"
87243,"Female",33,"Less than High School","Separated","No"
87244,"Female",29,"College Grad","Married","Yes"
87245,"Male",29,"Less than High School","Separated","No"
87246,"Male",58,"High School","Married","No"
87248,"Male",55,"Some College","Divorced","No"
87250,"Female",49,"College Grad","Married","No"
87251,"Female",50,"Less than High School","Separated","No"
87255,"Female",45,"College Grad","Single","No"
87256,"Male",65,"High School","Single","No"
87257,"Female",59,"High School","Married","No"
87258,"Female",30,"Some College","Separated","No"
87260,"Male",61,"High School","Married","No"
87261,"Female",73,"Less than High School","Separated","No"
87262,"Male",29,"Less than High School","Separated","No"
87263,"Male",53,"High School","Married","No"
87264,"Male",38,"High School","Single","No"
87265,"Male",42,"College Grad","Married","No"
87268,"Female",56,"Less than High School","Married","No"
87270,"Male",63,"College Grad","Married","No"
87274,"Female",55,"High School","Living Partner","No"
87275,"Male",75,"Less than High School","Married","No"
87276,"Female",44,"High School","Living Partner","No"
87277,"Female",25,"Some College","Married","No"
87278,"Male",46,"College Grad","Married","No"
87281,"Female",48,"Less than High School","Divorced","No"
87283,"Female",42,"Less than High School","Married","No"
87284,"Male",80,"Less than High School","Widowed","No"
87287,"Female",80,"Less than High School","Widowed","No"
87288,"Male",53,"Some College","Married","No"
87289,"Female",37,"High School","Living Partner","No"
87290,"Female",62,"High School","Single","No"
87291,"Male",39,"Less than High School","Married","No"
87292,"Male",41,"College Grad","Married","No"
87294,"Female",64,"College Grad","Married","No"
87297,"Female",46,"College Grad","Married","No"
87298,"Male",28,"Less than High School","Separated","No"
87301,"Male",69,"High School","Married","No"
87303,"Female",40,"College Grad","Divorced","No"
87306,"Female",56,"High School","Married","No"
87308,"Female",80,"High School","Widowed","No"
87310,"Male",29,"College Grad","Married","No"
87311,"Female",47,"College Grad","Married","No"
87312,"Male",29,"College Grad","Single","No"
87314,"Female",67,"Some College","Widowed","No"
87315,"Female",30,"College Grad","Married","No"
87316,"Female",78,"College Grad","Married","No"
87317,"Female",36,"Some College","Single","No"
87318,"Female",30,"College Grad","Divorced","Yes"
87319,"Female",52,"Some College","Married","No"
87320,"Male",43,"Some College","Married","No"
87321,"Female",68,"Less than High School","Married","No"
87322,"Female",58,"College Grad","Married","No"
87324,"Male",21,"Some College","Single","No"
87325,"Female",69,"College Grad","Divorced","No"
87326,"Female",25,"College Grad","Single","No"
87329,"Female",52,"Less than High School","Married","No"
87330,"Female",36,"High School","Married","No"
87333,"Male",40,"Less than High School","Living Partner","No"
87334,"Male",36,"Some College","Married","No"
87335,"Female",80,"High School","Living Partner","No"
87336,"Male",26,"Some College","Married","No"
87337,"Female",60,"High School","Married","No"
87338,"Male",72,"Less than High School","Married","No"
87341,"Male",24,"College Grad","Single","No"
87342,"Female",73,"Less than High School","Divorced","No"
87343,"Female",62,"College Grad","Divorced","No"
87344,"Male",22,"Some College","Single","No"
87345,"Female",52,"High School","Divorced","No"
87346,"Female",32,"High School","Single","No"
87347,"Male",57,"Less than High School","Married","No"
87349,"Male",25,"College Grad","Single","No"
87350,"Male",43,"High School","Married","No"
87351,"Male",38,"Some College","Single","No"
87353,"Female",30,"College Grad","Single","No"
87354,"Male",36,"High School","Married","No"
87360,"Female",67,"College Grad","Married","No"
87362,"Male",25,"College Grad","Single","No"
87365,"Male",30,"College Grad","Single","No"
87369,"Female",24,"High School","Living Partner","No"
87370,"Male",37,"Some College","Single","No"
87372,"Female",53,"High School","Married","No"
87373,"Male",29,"College Grad","Single","No"
87375,"Male",40,"High School","Divorced","No"
87376,"Female",40,"College Grad","Married","No"
87377,"Male",54,"College Grad","Married","No"
87379,"Male",29,"Less than High School","Married","No"
87380,"Male",48,"College Grad","Married","No"
87381,"Female",56,"Some College","Married","No"
87383,"Male",36,"Some College","Single","No"
87384,"Female",79,"High School","Widowed","No"
87385,"Male",28,"High School","Single","No"
87386,"Male",35,"College Grad","Married","No"
87387,"Male",63,"Less than High School","Married","No"
87388,"Female",70,"Less than High School","Widowed","No"
87389,"Female",63,"High School","Married","No"
87391,"Male",21,"Some College","Single","No"
87392,"Female",80,"Less than High School","Single","No"
87393,"Male",26,"Less than High School","Single","No"
87398,"Male",40,"Less than High School","Married","No"
87400,"Female",56,"Less than High School","Married","No"
87406,"Male",22,"College Grad","Single","No"
87409,"Female",44,"Some College","Married","No"
87412,"Male",33,"Some College","Married","No"
87413,"Male",41,"High School","Married","No"
87415,"Male",59,"College Grad","Married","No"
87416,"Female",69,"High School","Married","No"
87417,"Male",60,"College Grad","Married","No"
87418,"Female",31,"Some College","Married","No"
87422,"Male",20,"High School","Living Partner","No"
87423,"Female",31,"High School","Single","No"
87425,"Female",79,"Some College","Married","No"
87426,"Male",48,"College Grad","Living Partner","No"
87427,"Female",22,"Some College","Separated","No"
87428,"Male",58,"Some College","Married","No"
87429,"Female",65,"High School","Married","No"
87430,"Male",38,"High School","Married","No"
87433,"Male",74,"High School","Separated","No"
87435,"Male",80,"Less than High School","Married","No"
87436,"Female",36,"Less than High School","Married","No"
87437,"Male",43,"College Grad","Married","No"
87440,"Female",39,"Less than High School","Living Partner","No"
87445,"Female",67,"Some College","Divorced","No"
87447,"Female",37,"College Grad","Married","No"
87448,"Male",49,"High School","Living Partner","No"
87451,"Female",71,"High School","Living Partner","No"
87454,"Female",56,"High School","Married","No"
87459,"Female",31,"Less than High School","Separated","No"
87461,"Male",76,"Some College","Divorced","No"
87462,"Female",80,"High School","Widowed","No"
87463,"Male",22,"Some College","Single","No"
87464,"Male",70,"Less than High School","Married","No"
87466,"Female",75,"Less than High School","Married","No"
87468,"Male",80,"Less than High School","Separated","No"
87470,"Female",40,"Some College","Living Partner","No"
87472,"Male",22,"High School","Single","No"
87473,"Female",44,"High School","Divorced","No"
87474,"Female",27,"College Grad","Single","No"
87475,"Female",63,"College Grad","Single","No"
87476,"Female",58,"Less than High School","Single","No"
87477,"Male",59,"Some College","Married","No"
87480,"Female",31,"College Grad","Divorced","No"
87481,"Male",42,"Some College","Living Partner","No"
87482,"Female",29,"Some College","Married","No"
87484,"Female",62,"High School","Married","No"
87486,"Male",46,"Less than High School","Married","No"
87487,"Female",43,"Some College","Divorced","No"
87488,"Male",44,"College Grad","Married","No"
87489,"Male",61,"High School","Married","No"
87490,"Male",58,"Some College","Married","No"
87492,"Female",56,"Less than High School","Married","No"
87494,"Male",59,"Less than High School","Living Partner","No"
87496,"Male",58,"Some College","Single","No"
87497,"Female",70,"College Grad","Married","No"
87498,"Female",77,"Some College","Widowed","No"
87501,"Female",36,"Less than High School","Single","No"
87503,"Female",53,"College Grad","Married","No"
87505,"Male",52,"Some College","Living Partner","No"
87506,"Male",48,"Some College","Married","No"
87507,"Male",62,"High School","Single","No"
87508,"Female",20,"High School","Married","No"
87510,"Female",29,"College Grad","Married","No"
87511,"Female",71,"College Grad","Married","No"
87512,"Female",44,"High School","Married","No"
87513,"Female",56,"High School","Married","No"
87514,"Female",23,"Some College","Living Partner","No"
87515,"Female",70,"Less than High School","Widowed","No"
87516,"Female",43,"Some College","Single","No"
87519,"Male",67,"College Grad","Single","No"
87520,"Female",39,"College Grad","Divorced","No"
87521,"Male",20,"Some College","Single","No"
87522,"Female",26,"College Grad","Living Partner","No"
87524,"Male",33,"Some College","Married","No"
87529,"Male",21,"Some College","Single","No"
87530,"Male",27,"College Grad","Living Partner","No"
87531,"Male",78,"High School","Widowed","No"
87533,"Male",64,"Some College","Married","No"
87534,"Male",67,"High School","Married","No"
87538,"Male",68,"Less than High School","Married","No"
87539,"Female",31,"Less than High School","Single","No"
87544,"Female",28,"Some College","Married","No"
87545,"Female",75,"Some College","Divorced","No"
87548,"Male",27,"Less than High School","Married","No"
87551,"Male",38,"High School","Living Partner","No"
87554,"Female",52,"College Grad","Married","No"
87555,"Female",31,"Some College","Married","No"
87556,"Male",65,"High School","Married","No"
87559,"Male",80,"Less than High School","Widowed","No"
87560,"Female",58,"College Grad","Married","No"
87564,"Male",34,"Some College","Living Partner","No"
87565,"Female",36,"College Grad","Single","No"
87568,"Male",73,"Less than High School","Married","No"
87573,"Male",55,"College Grad","Married","No"
87577,"Female",57,"High School","Married","No"
87580,"Female",51,"Some College","Divorced","No"
87581,"Male",80,"College Grad","Married","No"
87582,"Male",76,"College Grad","Married","No"
87583,"Male",61,"High School","Divorced","No"
87585,"Female",51,"High School","Married","No"
87586,"Male",43,"Less than High School","Married","No"
87587,"Male",54,"Some College","Married","No"
87591,"Male",47,"College Grad","Married","No"
87592,"Male",38,"High School","Living Partner","No"
87593,"Male",80,"College Grad","Living Partner","No"
87594,"Female",35,"Less than High School","Single","No"
87596,"Female",60,"College Grad","Married","No"
87598,"Female",27,"Less than High School","Married","No"
87599,"Male",27,"College Grad","Single","No"
87600,"Female",30,"Some College","Single","No"
87601,"Male",52,"High School","Single","No"
87603,"Male",33,"Some College","Married","No"
87605,"Female",54,"High School","Single","No"
87606,"Female",52,"High School","Single","No"
87607,"Male",68,"High School","Married","No"
87608,"Male",53,"College Grad","Married","No"
87623,"Male",43,"College Grad","Married","No"
87626,"Male",63,"Less than High School","Married","No"
87627,"Male",80,"Less than High School","Widowed","No"
87628,"Male",80,"High School","Married","No"
87630,"Male",54,"College Grad","Single","No"
87632,"Female",38,"Less than High School","Living Partner","No"
87633,"Female",46,"College Grad","Married","No"
87634,"Female",30,"College Grad","Married","No"
87636,"Female",42,"Some College","Married","No"
87637,"Male",55,"Less than High School","Married","No"
87638,"Female",52,"Less than High School","Divorced","No"
87639,"Male",65,"Some College","Married","No"
87640,"Female",37,"High School","Single","No"
87641,"Female",54,"College Grad","Separated","No"
87645,"Female",42,"Less than High School","Married","No"
87646,"Female",80,"Less than High School","Married","No"
87648,"Female",39,"College Grad","Divorced","No"
87649,"Male",44,"Less than High School","Married","No"
87652,"Female",80,"Less than High School","Married","No"
87653,"Female",37,"Less than High School","Living Partner","No"
87655,"Male",57,"High School","Married","No"
87657,"Male",22,"Less than High School","Single","No"
87661,"Female",56,"High School","Divorced","No"
87663,"Male",50,"Some College","Married","No"
87664,"Female",34,"Some College","Divorced","No"
87665,"Female",44,"Less than High School","Married","No"
87667,"Female",32,"College Grad","Divorced","No"
87668,"Female",37,"High School","Married","No"
87669,"Female",49,"College Grad","Married","No"
87671,"Male",52,"High School","Married","No"
87672,"Male",37,"Less than High School","Married","No"
87673,"Male",68,"Less than High School","Single","No"
87677,"Female",80,"Some College","Divorced","No"
87684,"Male",44,"College Grad","Married","No"
87688,"Male",75,"High School","Married","No"
87690,"Male",55,"Less than High School","Married","No"
87691,"Male",80,"College Grad","Married","No"
87692,"Male",60,"Some College","Divorced","No"
87693,"Male",52,"Some College","Divorced","No"
87694,"Female",25,"College Grad","Single","No"
87696,"Female",66,"Less than High School","Separated","No"
87697,"Female",37,"Some College","Married","No"
87699,"Male",20,"Some College","Single","No"
87703,"Male",77,"Less than High School","Married","No"
87706,"Female",80,"High School","Widowed","No"
87707,"Female",27,"College Grad","Married","No"
87710,"Male",62,"College Grad","Married","No"
87711,"Female",46,"College Grad","Married","No"
87712,"Female",33,"High School","Single","No"
87717,"Male",59,"Some College","Divorced","No"
87719,"Female",36,"Some College","Married","No"
87720,"Female",27,"High School","Single","No"
87721,"Female",45,"Some College","Divorced","No"
87727,"Female",80,"High School","Widowed","No"
87729,"Male",22,"High School","Single","No"
87733,"Female",39,"College Grad","Married","No"
87734,"Female",77,"College Grad","Divorced","No"
87736,"Male",61,"Some College","Divorced","No"
87741,"Female",26,"College Grad","Married","No"
87742,"Female",41,"Some College","Separated","No"
87746,"Female",69,"Some College","Married","No"
87748,"Male",70,"College Grad","Married","No"
87749,"Female",78,"Some College","Widowed","No"
87750,"Male",66,"Some College","Married","No"
87756,"Female",57,"Some College","Married","No"
87757,"Male",49,"Some College","Married","No"
87758,"Male",53,"Some College","Single","No"
87761,"Female",80,"Less than High School","Married","No"
87762,"Male",51,"Less than High School","Married","No"
87766,"Female",78,"High School","Married","No"
87769,"Female",37,"High School","Single","No"
87770,"Male",68,"Some College","Living Partner","No"
87772,"Female",36,"Less than High School","Married","No"
87773,"Male",53,"High School","Married","No"
87774,"Male",24,"High School","Married","No"
87776,"Female",48,"Less than High School","Living Partner","No"
87777,"Female",67,"Less than High School","Married","No"
87778,"Female",56,"Some College","Married","No"
87779,"Male",28,"Some College","Single","No"
87780,"Female",27,"College Grad","Single","No"
87781,"Male",80,"College Grad","Widowed","No"
87783,"Female",59,"Some College","Divorced","No"
87784,"Female",80,"College Grad","Widowed","No"
87788,"Female",44,"College Grad","Married","No"
87790,"Female",24,"Some College","Single","No"
87791,"Male",53,"Some College","Married","No"
87795,"Female",78,"Less than High School","Widowed","No"
87797,"Female",30,"College Grad","Married","No"
87798,"Male",36,"Less than High School","Married","No"
87799,"Female",48,"College Grad","Married","No"
87800,"Female",36,"Less than High School","Married","No"
87801,"Male",42,"Less than High School","Married","No"
87802,"Female",27,"College Grad","Living Partner","No"
87803,"Male",62,"Less than High School","Married","No"
87805,"Male",48,"College Grad","Married","No"
87806,"Female",53,"College Grad","Married","No"
87808,"Female",35,"College Grad","Single","No"
87809,"Male",74,"College Grad","Married","No"
87814,"Female",20,"High School","Living Partner","No"
87816,"Male",48,"Some College","Married","No"
87818,"Female",66,"Less than High School","Married","No"
87819,"Male",37,"High School","Single","No"
87821,"Female",20,"Some College","Single","No"
87824,"Female",54,"Some College","Married","No"
87827,"Male",27,"High School","Single","No"
87829,"Male",23,"College Grad","Single","No"
87830,"Male",44,"Some College","Single","No"
87832,"Male",61,"High School","Married","No"
87833,"Male",47,"Less than High School","Single","No"
87839,"Female",62,"High School","Married","No"
87840,"Male",80,"College Grad","Widowed","No"
87841,"Female",50,"Some College","Single","No"
87842,"Female",66,"Less than High School","Widowed","No"
87843,"Male",66,"Less than High School","Married","No"
87844,"Male",49,"High School","Married","No"
87845,"Female",28,"College Grad","Married","No"
87848,"Female",73,"Some College","Married","No"
87849,"Male",24,"Some College","Married","No"
87850,"Female",28,"Some College","Single","No"
87851,"Male",72,"High School","Widowed","No"
87852,"Female",48,"College Grad","Married","No"
87853,"Male",36,"Less than High School","Married","No"
87856,"Male",23,"Less than High School","Single","No"
87857,"Male",46,"College Grad","Married","No"
87859,"Female",56,"High School","Married","No"
87870,"Female",55,"Less than High School","Married","No"
87871,"Male",52,"Less than High School","Living Partner","No"
87872,"Male",47,"High School","Single","No"
87873,"Male",70,"College Grad","Married","No"
87874,"Female",46,"High School","Single","No"
87875,"Male",27,"College Grad","Living Partner","No"
87880,"Female",77,"Some College","Widowed","No"
87882,"Female",32,"College Grad","Living Partner","No"
87884,"Female",80,"High School","Married","No"
87885,"Male",25,"Some College","Separated","No"
87886,"Male",28,"Some College","Single","No"
87887,"Male",79,"Less than High School","Widowed","No"
87890,"Male",54,"Less than High School","Married","No"
87891,"Female",42,"High School","Separated","No"
87892,"Female",29,"Some College","Single","No"
87895,"Female",37,"Less than High School","Married","No"
87896,"Female",32,"High School","Single","No"
87897,"Male",50,"College Grad","Single","No"
87898,"Male",68,"College Grad","Married","No"
87901,"Female",38,"High School","Divorced","No"
87903,"Male",54,"Less than High School","Living Partner","No"
87904,"Male",80,"High School","Married","No"
87905,"Female",42,"Less than High School","Divorced","No"
87906,"Female",22,"Some College","Living Partner","No"
87909,"Male",49,"High School","Married","No"
87910,"Female",50,"Some College","Divorced","No"
87913,"Female",26,"Less than High School","Living Partner","No"
87914,"Female",36,"College Grad","Married","No"
87916,"Male",35,"Less than High School","Single","No"
87918,"Female",33,"Some College","Married","No"
87919,"Male",71,"College Grad","Married","No"
87920,"Female",75,"Less than High School","Divorced","No"
87921,"Male",59,"College Grad","Married","No"
87922,"Male",61,"High School","Divorced","No"
87923,"Male",50,"Less than High School","Married","No"
87925,"Female",33,"College Grad","Married","No"
87930,"Male",27,"College Grad","Married","No"
87934,"Male",25,"Some College","Single","No"
87937,"Female",52,"College Grad","Living Partner","No"
87939,"Female",36,"College Grad","Married","No"
87940,"Male",80,"Less than High School","Widowed","No"
87942,"Female",32,"High School","Single","No"
87943,"Male",30,"Less than High School","Living Partner","No"
87944,"Male",55,"Less than High School","Married","No"
87945,"Male",36,"Some College","Living Partner","No"
87946,"Male",48,"Less than High School","Single","No"
87947,"Male",34,"College Grad","Married","No"
87948,"Male",21,"High School","Single","No"
87950,"Male",36,"Less than High School","Single","No"
87951,"Male",70,"College Grad","Married","No"
87953,"Female",80,"High School","Widowed","No"
87954,"Male",33,"Less than High School","Single","No"
87956,"Male",57,"Less than High School","Married","No"
87957,"Female",48,"High School","Married","No"
87959,"Male",49,"College Grad","Married","No"
87961,"Female",44,"Less than High School","Living Partner","No"
87962,"Male",61,"Some College","Married","No"
87964,"Male",21,"Some College","Single","No"
87965,"Female",34,"College Grad","Married","No"
87966,"Male",27,"Some College","Married","No"
87969,"Female",38,"College Grad","Married","No"
87971,"Male",34,"Less than High School","Married","No"
87974,"Male",32,"Some College","Single","No"
87975,"Male",70,"Some College","Married","No"
87977,"Male",80,"High School","Married","No"
87982,"Female",23,"Less than High School","Single","No"
87983,"Female",53,"High School","Living Partner","No"
87984,"Female",61,"High School","Married","No"
87985,"Male",66,"Some College","Married","No"
87986,"Male",72,"College Grad","Divorced","No"
87987,"Male",70,"Less than High School","Married","No"
87988,"Male",38,"Some College","Married","No"
87990,"Female",66,"College Grad","Widowed","No"
87994,"Female",37,"College Grad","Married","No"
87995,"Female",54,"Some College","Widowed","No"
87997,"Male",25,"Less than High School","Single","No"
87998,"Female",80,"High School","Widowed","No"
88000,"Female",43,"Less than High School","Living Partner","No"
88001,"Male",63,"Less than High School","Married","No"
88002,"Male",67,"College Grad","Married","No"
88003,"Male",66,"Less than High School","Married","No"
88005,"Female",21,"High School","Living Partner","No"
88010,"Male",80,"High School","Married","No"
88011,"Female",64,"College Grad","Married","No"
88018,"Male",48,"College Grad","Married","No"
88019,"Male",73,"High School","Married","No"
88020,"Male",70,"College Grad","Married","No"
88021,"Male",60,"Less than High School","Married","No"
88022,"Female",60,"Some College","Single","No"
88025,"Female",43,"Some College","Single","No"
88027,"Female",20,"High School","Single","No"
88029,"Male",70,"Less than High School","Married","No"
88030,"Male",27,"Less than High School","Living Partner","No"
88031,"Male",32,"Some College","Married","No"
88034,"Female",63,"High School","Divorced","No"
88040,"Male",41,"College Grad","Living Partner","No"
88042,"Female",67,"High School","Married","No"
88045,"Male",32,"Some College","Married","No"
88046,"Female",51,"High School","Divorced","No"
88047,"Female",29,"High School","Single","No"
88048,"Female",31,"College Grad","Married","No"
88049,"Female",20,"Some College","Living Partner","No"
88050,"Female",58,"High School","Separated","No"
88051,"Male",35,"College Grad","Married","No"
88054,"Male",62,"Some College","Separated","No"
88055,"Female",26,"College Grad","Living Partner","No"
88056,"Female",33,"Some College","Married","No"
88058,"Female",41,"High School","Married","No"
88060,"Female",23,"Some College","Living Partner","No"
88063,"Male",71,"High School","Married","No"
88064,"Male",35,"Less than High School","Single","No"
88065,"Female",26,"College Grad","Single","No"
88069,"Male",79,"Less than High School","Separated","No"
88071,"Female",20,"Some College","Single","No"
88072,"Female",31,"Some College","Married","No"
88075,"Male",41,"Less than High School","Single","No"
88077,"Female",24,"Some College","Single","No"
88081,"Female",36,"College Grad","Married","No"
88082,"Female",44,"Some College","Married","No"
88083,"Female",46,"College Grad","Married","No"
88086,"Male",31,"Less than High School","Single","No"
88087,"Female",29,"Less than High School","Married","No"
88089,"Female",41,"Less than High School","Separated","No"
88090,"Male",54,"High School","Married","No"
88092,"Male",40,"Less than High School","Married","No"
88094,"Female",74,"Less than High School","Divorced","No"
88096,"Male",68,"High School","Separated","No"
88097,"Female",75,"High School","Married","No"
88098,"Female",80,"College Grad","Divorced","No"
88099,"Female",42,"High School","Married","No"
88100,"Male",52,"College Grad","Married","No"
88102,"Male",62,"Less than High School","Married","No"
88103,"Male",68,"Less than High School","Married","No"
88104,"Female",61,"High School","Single","No"
88106,"Male",20,"Some College","Single","No"
88108,"Female",80,"High School","Married","No"
88110,"Female",32,"Some College","Single","No"
88111,"Female",65,"Some College","Married","No"
88112,"Male",35,"Some College","Married","No"
88113,"Male",64,"Less than High School","Married","No"
88114,"Male",57,"Some College","Married","No"
88115,"Female",42,"High School","Married","No"
88116,"Female",41,"College Grad","Married","No"
88119,"Female",67,"College Grad","Married","No"
88120,"Male",54,"High School","Married","No"
88123,"Female",26,"College Grad","Married","No"
88125,"Male",61,"High School","Married","No"
88126,"Male",45,"Some College","Living Partner","No"
88128,"Female",57,"Less than High School","Married","No"
88131,"Male",39,"High School","Married","No"
88132,"Male",42,"College Grad","Divorced","No"
88133,"Male",34,"High School","Single","No"
88134,"Male",80,"Some College","Married","No"
88136,"Male",31,"Some College","Married","No"
88137,"Female",66,"Less than High School","Separated","No"
88138,"Female",44,"College Grad","Divorced","No"
88143,"Male",66,"Less than High School","Married","No"
88144,"Male",68,"High School","Divorced","No"
88145,"Female",75,"High School","Widowed","No"
88146,"Male",45,"College Grad","Married","No"
88147,"Female",27,"Some College","Married","No"
88148,"Female",68,"Less than High School","Married","No"
88149,"Female",69,"College Grad","Married","No"
88151,"Male",67,"Less than High School","Married","No"
88153,"Female",80,"Less than High School","Single","No"
88154,"Male",25,"Some College","Living Partner","No"
88156,"Male",28,"Some College","Married","No"
88157,"Male",29,"College Grad","Married","No"
88158,"Male",51,"High School","Single","No"
88159,"Female",27,"Some College","Single","No"
88161,"Female",63,"Less than High School","Living Partner","No"
88164,"Female",45,"Some College","Married","No"
88167,"Female",38,"Less than High School","Separated","No"
88169,"Male",29,"Some College","Living Partner","No"
88170,"Male",80,"High School","Married","No"
88172,"Male",80,"Some College","Married","No"
88173,"Male",64,"Less than High School","Divorced","No"
88174,"Female",55,"Some College","Married","No"
88175,"Male",68,"High School","Married","No"
88178,"Male",29,"Less than High School","Married","No"
88181,"Male",39,"High School","Married","No"
88182,"Female",38,"Some College","Divorced","No"
88184,"Female",23,"High School","Single","No"
88185,"Female",42,"Less than High School","Married","No"
88186,"Male",31,"Some College","Single","No"
88188,"Male",51,"Less than High School","Married","No"
88191,"Male",68,"Some College","Divorced","No"
88192,"Male",20,"Less than High School","Living Partner","No"
88194,"Male",80,"Some College","Married","No"
88196,"Female",43,"College Grad","Single","No"
88197,"Female",80,"Some College","Married","No"
88198,"Male",63,"Less than High School","Divorced","No"
88199,"Female",29,"High School","Single","No"
